GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
500,1119UGA,107964,06/02/2002,2002,1,Violence against civilians,Karamajong Ethnic Militia (Uganda),,4,Civilians (Uganda),,7,47,Uganda,Kotido,Jie,Panyangara,Kotido,2.98060,34.13310,3,BBC Monitoring Africa - Political 7/2/2,Karamajong warriors attacked a vehicle - 2 civilians (engineers) were killed,2
500,1120UGA,107965,07/02/2002,2002,2,Battle-No change of territory,Unidentified Armed Group (Uganda),,3,Alur Ethnic Militia (Democratic Republic of Congo),,4,34,Uganda,Nebbi,Okoro,Paidha,Okoro,2.50000,31.00000,2,BBC Monitoring Africa - Political 7/2/2,"Clash between 'Omedo clan of Kebu' and 'Alur clan of Angar', people fled the area after over 200 houses were burned",0
500,1121UGA,107966,14/02/2002,2002,1,Violence against civilians,Unidentified Armed Group (Uganda),,3,Civilians (Uganda),,7,37,Uganda,Kiboga,Kiboga,Kiboga Tc,Kiboga,0.91610,31.77420,3,All Africa 18/2/2,2 civilians were killed by an unidentified assailant after rival supporters had a 'scuffle' after LC5 elections,2
500,1123UGA,107967,23/02/2002,2002,1,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Kitgum,Chua,Kitgum Tc,Kitgum,3.27833,32.88667,3,All Africa 13/3/2,LRA rebels attacked a camp for internally displaced people - the Ugandan army responded to the attack - 2 soldiers were killed,2
500,1122UGA,107968,23/02/2002,2002,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Kitgum,Lamwo,Agoro,Agoro,3.75940,33.03690,1,BBC Monitoring Africa - Political 24/2/2,About 300 LRA rebels killed 2 civilians in an attack on a Local Defence Unit (Uganda) detachment,2
500,1124UGA,107969,23/02/2002,2002,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Kitgum,Chua,Kitgum Tc,Kitgum,3.27833,32.88667,3,All Africa 13/3/2,"LRA rebels attacked a camp for internally displaced people - civilians were killed and property was looted including a trading centre, up to 100 people were abducted",10
500,1125UGA,107970,25/02/2002,2002,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Gulu,Nwoya,Purongo,Purongo,2.53492,31.83976,1,BBC Monitoring Africa - Political 28/2/2,LRA rebels attacked a camp for displaced people - 2 civilians were killed,2
500,1126UGA,107971,01/03/2002,2002,1,Riots/Protests,Rioters (Uganda),,5,Police Forces of Uganda (1986-),,1,15,Uganda,Kampala,Kampala,Central Division,Kampala,0.31560,32.56560,1,All Africa 3/3/2,Boda-boda rioters targeted a police station where a suspected boda-boda robber was being held,0
500,1129UGA,107972,03/03/2002,2002,2,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Gulu,Gulu,Pece,Gulu,2.76667,32.30556,3,Reuters 4/3/2,LRA rebels attacked people attending a funeral - 3 civilians were killed and several others were injured,3
500,1127UGA,107973,03/03/2002,2002,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Apac,Maruzi,Apac Tc,Apac,1.97556,32.53861,3,BBC Monitoring Africa - Political 6/3/2,"LRA rebels attacked villages in Apac District - 4 people were killed, several injured, 28 houses burnt, 100 people displaced",4
