GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
450,233LBR,42820,01/04/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Salayea,Palama,Salayea,7.62000,-9.50000,1,See Original Data,See Original Data,0
450,234LBR,42821,01/04/2001,2001,2,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,See Original Data,See Original Data,0
450,235LBR,42822,01/04/2001,2001,2,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Voinjama,Upper Worker,Voinjama,8.42258,-9.75244,1,See Original Data,See Original Data,0
450,236LBR,42823,03/04/2001,2001,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Lofa,Lower Kru Coast,Guma/Mende,Vahun,8.06390,-10.50330,1,Associated Press Newswires,,0
450,237LBR,42824,03/04/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,Associated Press Newswires,,0
450,238LBR,42825,03/04/2001,2001,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Lofa,Foya,Tengia,Foya,8.27000,-10.31000,1,Associated Press Newswires,,0
450,239LBR,42826,04/04/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Lower Kru Coast,Guma/Mende,Vahun,8.06390,-10.50330,1,See Original Data,See Original Data,0
450,240LBR,42828,04/04/2001,2001,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Lofa,Lower Kru Coast,Guma/Mende,Vahun,8.06390,-10.50330,1,Associated Press Newswires,,0
450,241LBR,42829,04/04/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,Associated Press Newswires,,0
450,242LBR,42827,04/04/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Foya,Tengia,Foya,8.27000,-10.31000,1,See Original Data,See Original Data,0
